,0,1,2,3,4,5,6
188,MMCB-0000-227M,1465400507.0,103.0,153.0,204.0,284.0,426.0
189,MMCB-0000-190V,1468184012.0,132.0,198.0,266.0,357.25,520.0
190,FCLR-GP20-9287,1477955747.0,129.0,185.0,240.0,307.0,408.0
191,FPWB-0001-254V,1466795944.0,138.0,201.0,267.0,352.0,482.0
192,MMCB-0000-142W,1465400560.0,72.0,125.0,190.0,278.0,354.0
193,FGPC-0000-492E,1465398596.0,121.0,185.0,261.0,360.0,534.0
194,FPWB-0001-2032,1486657376.0,126.0,186.0,247.0,326.0,449.0
195,FPWB-0001-309O,1466803287.0,123.0,179.0,232.0,299.0,403.0
196,MMCB-0000-180W,1465401044.0,62.700000000000017,106.0,154.0,250.0,314.0
197,MESB-0009-634L,1465401005.0,49.0,70.0,99.0,133.0,185.5
198,FGPC-0000-4990,1465399527.0,121.0,191.0,274.0,384.0,587.60000000000036
199,MESB-0009-564K,1465400916.0,49.0,74.0,105.0,139.0,198.0
200,FGPC-D4IR-UUKP,1468183940.0,136.75,213.0,295.0,396.0,574.0
201,FPWB-0000-772O,1465395220.0,104.0,152.0,186.0,227.0,297.0
202,MESB-0008-634M,1466803154.0,136.85000000000002,203.0,275.0,361.0,502.0
203,MMCB-0006-5981,1466829495.0,138.0,207.0,279.0,376.0,537.0
204,FPWB-0001-1208,1465399047.0,130.0,187.0,249.0,338.0,491.14999999999964
205,MMCB-0000-185M,1465400931.0,72.0,136.0,193.0,237.0,340.84999999999991
206,MMCB-0000-312V,1465399027.0,86.0,179.0,215.0,255.0,342.29999999999927
207,MMCB-0000-202Y,1465399734.0,145.0,230.0,329.0,431.0,578.0
208,MMCB-0006-7945,1465400126.0,140.0,283.0,329.0,391.0,507.0
209,MCLR-GP20-400K,1477955818.0,129.0,186.0,245.0,312.0,421.0
210,MMCB-0000-197H,1465400914.0,68.0,130.0,188.0,230.0,323.0
211,MMCB-0009-233K,1466807023.0,133.0,194.0,258.0,342.0,471.0
212,MMCB-0000-2002,1465401000.0,64.0,123.0,182.0,226.0,316.69999999999982
213,MMCB-0008-858X,1466795447.0,135.0,197.0,265.0,355.0,505.0
214,MESB-0009-568C,1465399268.0,68.0,137.0,266.0,306.0,385.0
215,FRCH-0000-0034,1465399944.0,144.05000000000007,288.0,330.0,397.0,507.0
216,MMCB-0008-170P,1465400236.0,145.05000000000001,290.0,331.5,394.0,505.0
217,MMCB-0000-1012,1465400888.0,90.0,155.25,208.0,263.0,389.0
218,FPWB-0001-193V,1466802478.0,135.0,198.0,262.0,342.0,472.0
219,MMCB-0000-139J,1465400774.0,73.0,128.0,198.0,280.0,360.0
220,FPWB-0001-116X,1466795447.0,142.0,205.0,269.0,353.0,493.0
221,MESB-0008-780N,1465400016.0,169.0,387.0,429.0,484.0,559.0
222,FPWB-0000-661T,1466797337.0,120.0,171.0,221.0,286.0,394.0
223,FPWB-0000-822R,1466832828.0,142.0,206.75,269.0,350.0,489.0
224,FPWB-0001-1414,1466795605.0,127.0,184.0,245.0,323.0,448.0
225,FPWB-0001-028U,1465398943.0,138.0,299.0,343.0,411.0,533.0
226,FPWB-0000-958A,1465399260.0,122.0,183.0,252.0,347.0,513.0
227,FPWB-0001-183W,1466806922.0,136.0,198.0,267.0,359.0,501.0
228,MMCB-0000-103Y,1465401005.0,64.0,110.0,153.0,256.0,324.0
229,FS1C-0000-152P,1465400420.0,117.0,194.0,219.0,257.0,341.0
230,MMCB-0000-2101,1465400961.0,106.0,155.0,206.0,285.0,421.0
231,FRMR-00CS-821F,1466834671.0,144.0,207.0,272.0,354.0,472.0
232,FPWB-0000-922P,1465393832.0,137.0,204.0,270.0,371.0,571.0
233,FL33-0000-1505,1465400305.0,132.0,194.75,219.0,259.0,341.0
234,FRMR-00BB-772T,1466796241.0,131.0,189.0,248.0,322.0,437.0
235,FPWB-0000-952M,1466802555.0,137.0,205.0,274.0,362.0,513.0
236,MESB-0009-784E,1465398181.0,150.0,368.0,415.0,474.0,546.0
237,FCLR-NA23-094N,1465398172.0,186.0,288.0,336.0,407.0,521.0
238,MMCB-0000-144S,1465400360.0,128.0,196.0,278.0,378.75,521.0
239,FPWB-0000-657I,1465399558.0,139.0,209.5,292.0,407.0,605.0
240,MMCB-0006-472H,1466829877.0,143.0,209.0,274.0,358.0,494.0
241,FGPC-4ZPF-J0F1,1466833177.0,136.0,204.0,277.0,369.0,525.0
242,MMCB-0000-152V,1465401032.0,65.0,112.0,159.0,248.0,308.34999999999991
243,MMCB-0005-511O,1466834608.0,129.0,195.25,267.0,361.0,499.0
244,MDNB-BAMU-FVPP,1486655855.0,127.0,186.0,246.0,326.0,451.19999999999891
245,FPWB-0000-743P,1465393832.0,133.0,197.0,268.0,361.0,529.34999999999854
246,MESB-0009-714L,1465400026.0,76.0,144.0,203.0,239.0,317.0
247,MMCB-0000-217N,1465400290.0,131.0,204.0,296.0,416.0,627.14999999999986
248,FPWB-0001-1232,1466834640.0,133.0,188.0,242.0,310.0,419.0
249,FPWB-0001-115Z,1465398181.0,133.0,193.0,256.0,348.0,500.0
250,FPWB-0000-827H,1466795606.0,128.0,187.0,252.0,336.0,465.40000000000146
251,FPWB-0001-092Z,1466829884.0,131.0,185.0,239.0,310.0,434.0
252,MMCB-0000-1111,1465400592.0,91.0,157.0,255.0,296.0,378.0
253,MMCB-0000-304S,1465399940.0,92.0,180.0,215.0,254.25,340.0
254,MESB-0009-595F,1465400925.0,85.0,160.0,208.0,268.0,338.0
255,FGPC-HVHD-2DZF,1473678614.0,151.0,229.0,305.0,389.0,517.0
256,MESB-0009-646G,1465400995.0,48.0,69.0,99.0,132.0,184.0
257,MMCB-0009-761B,1466795570.0,134.0,200.0,270.0,359.0,496.0
258,MESB-0009-593J,1465400585.0,74.0,136.0,188.0,250.0,314.0
259,MESB-0009-716H,1465400817.0,67.0,130.0,195.0,230.0,298.0
260,MMCB-0000-182S,1465400907.0,67.0,120.0,180.0,265.0,333.0
261,FM2E-0000-360Q,1465398586.0,174.0,390.0,435.0,496.0,569.0
262,MCLR-NA22-012L,1477946135.0,126.0,187.0,247.0,320.0,437.0
263,MCLR-NA20-928S,1477537299.0,129.0,185.0,240.0,307.0,408.0
264,MESB-0009-7597,1465398586.0,139.0,364.0,413.0,472.0,545.0
265,MMCB-0007-350O,1466833105.0,138.0,213.0,296.0,403.0,563.0
266,FCLR-NA20-731O,1477944447.0,127.0,187.0,248.0,324.0,435.0
267,MMCB-0000-283O,1465400841.0,89.950000000000017,187.0,208.0,242.0,311.0
268,MESB-0009-707G,1466807134.0,135.0,198.0,259.0,342.0,478.0
269,MMCB-0000-166M,1465401003.0,67.0,119.0,178.0,262.0,330.0
270,MESB-0009-540U,1465400449.0,68.0,123.0,196.0,291.0,356.25
271,MCLR-NA10-799P,1465397172.0,186.0,260.0,326.0,408.0,528.0
272,FPWB-0001-173X,1466806382.0,133.0,192.0,254.0,336.0,462.0
273,FCLR-NA10-684H,1465400293.0,132.0,273.0,310.0,361.0,464.0
274,MMCB-0000-1202,1465400161.0,88.0,152.0,254.0,295.0,378.0
275,MESB-0009-792H,1465399260.0,128.0,184.0,256.0,358.25,531.0
276,MMCB-0000-153T,1465400774.0,81.0,146.0,237.0,276.0,347.0
277,FCLR-NA12-8784,1465393832.0,100.0,168.0,231.0,306.0,420.0
278,FRMR-00GC-803L,1466829701.0,144.0,215.0,286.0,377.0,526.0
279,MMCB-0009-255E,1465399545.0,167.60000000000002,295.0,338.0,407.0,517.0
280,MMCB-0000-143U,1465400820.0,76.0,126.0,182.0,271.0,338.0
281,MPWC-CK1O-BDRH,1486657486.0,128.0,186.0,246.0,326.0,451.0
282,FRMR-00ST-841F,1466796216.0,140.0,204.0,267.0,347.0,471.0
283,FGPC-0000-600N,1465399308.0,118.70000000000002,190.0,273.0,385.0,582.0
284,MMCB-0000-148K,1465400959.0,70.0,132.5,188.0,232.0,326.29999999999973
285,MMCB-0000-298D,1465400671.0,96.0,178.0,215.0,256.0,343.0
286,MCLR-NA22-5923,1465400864.0,103.0,263.0,301.0,346.0,445.0
287,FPWB-0001-1422,1465399736.0,123.0,184.0,257.0,362.0,531.0
288,MMCB-0007-2978,1465398616.0,137.0,274.0,339.0,426.0,549.0
289,MESB-0009-607I,1465400736.0,78.0,152.0,202.0,260.0,331.0
290,FPWB-0000-840T,1473678553.0,156.0,228.0,300.0,381.0,511.0
291,MRMR-0067-098S,1466807143.0,140.0,208.0,277.0,359.0,483.0
292,MGPC-CGXX-0E18,1483844826.0,141.0,213.0,292.0,391.0,548.0
293,FT3C-0000-155E,1465400589.0,111.0,193.75,219.0,260.0,345.0
294,FGPC-0000-6483,1466832849.0,131.0,191.0,253.0,329.0,468.0
295,MMCB-0006-900I,1465398212.0,128.0,194.0,266.0,368.0,555.0
296,MESB-0008-755G,1465399742.0,125.0,254.0,318.0,388.0,514.64999999999964
297,MMCB-0000-106S,1465400783.0,70.300000000000011,122.0,179.0,272.0,339.0
298,FPWB-0000-868B,1465396582.0,128.0,188.0,253.0,340.0,495.0
299,MMCB-0009-947X,1466802847.0,128.0,190.0,260.0,350.0,492.0
300,FB1E-0000-363X,1465399557.0,217.0,285.0,330.0,401.0,513.0
301,MMCB-0000-192R,1465400667.0,142.0,216.0,306.0,406.0,546.0
302,MMCB-0007-238C,1466829701.0,140.0,208.0,282.0,375.0,521.0
303,MCLR-GP22-012L,1477957814.0,128.0,184.0,235.0,301.0,397.0
304,MCLR-NA04-8630,1477946234.0,126.0,185.0,245.0,313.0,423.0
305,FRMR-00MS-704S,1466833087.0,144.0,214.0,285.0,371.0,515.0
306,MMCB-0007-204N,1466812466.0,132.0,197.0,266.0,355.0,494.0
307,FPWB-0001-1901,1466795832.0,140.0,205.0,270.0,350.0,478.0
308,FM1W-0000-149Y,1465400584.0,113.0,192.0,215.0,252.0,327.0
